budget,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,rating
30000000,862,en,21.946943,30-10-1995,373554033,81,Released,Toy Story,7.7,5415,2.5
65000000,8844,en,17.015539,15-12-1995,262797249,104,Released,Jumanji,6.9,2413,3
0,15602,en,11.7129,22-12-1995,0,101,Released,Grumpier Old Men,6.5,92,3
16000000,31357,en,3.859495,22-12-1995,81452156,127,Released,Waiting to Exhale,6.1,34,2
0,11862,en,8.387519,10-02-1995,76578911,106,Released,Father of the Bride Part II,5.7,173,4
60000000,949,en,17.924927,15-12-1995,187436818,170,Released,Heat,7.7,1886,2
58000000,11860,en,6.677277,15-12-1995,0,127,Released,Sabrina,6.2,141,2
0,45325,en,2.561161,22-12-1995,0,97,Released,Tom and Huck,5.4,45,2
35000000,9091,en,5.23158,22-12-1995,64350171,106,Released,Sudden Death,5.5,174,3.5
58000000,710,en,14.686036,16-11-1995,352194034,130,Released,GoldenEye,6.6,1194,2
62000000,9087,en,6.318445,17-11-1995,107879496,106,Released,The American President,6.5,199,2.5
0,12110,en,5.430331,22-12-1995,0,88,Released,Dracula: Dead and Loving It,5.7,210,1
0,21032,en,12.140733,22-12-1995,11348324,78,Released,Balto,7.1,423,4
44000000,10858,en,5.092,22-12-1995,13681765,192,Released,Nixon,7.1,72,4
98000000,1408,en,7.284477,22-12-1995,10017322,119,Released,Cutthroat Island,5.7,137,3
52000000,524,en,10.137389,22-11-1995,116112375,178,Released,Casino,7.8,1343,2
16500000,4584,en,10.673167,13-12-1995,135000000,136,Released,Sense and Sensibility,7.2,364,2
4000000,5,en,9.026586,09-12-1995,4300000,98,Released,Four Rooms,6.5,539,2.5
30000000,9273,en,8.205448,10-11-1995,212385533,90,Released,Ace Ventura: When Nature Calls,6.1,1128,1
60000000,11517,en,7.337906,21-11-1995,35431113,103,Released,Money Train,5.4,224,3
30250000,8012,en,12.669608,20-10-1995,115101622,105,Released,Get Shorty,6.4,305,4
0,1710,en,10.701801,27-10-1995,0,124,Released,Copycat,6.5,199,5
50000000,9691,en,11.065939,06-10-1995,30303072,132,Released,Assassins,6,394,5
0,12665,en,12.133094,27-10-1995,0,111,Released,Powder,6.3,143,4
3600000,451,en,10.332025,27-10-1995,49800000,112,Released,Leaving Las Vegas,7.1,365,4
0,16420,en,1.845899,15-12-1995,0,123,Released,Othello,7,33,3
12000000,9263,en,8.681325,20-10-1995,27400000,100,Released,Now and Then,6.6,91,3
0,17015,en,2.228434,27-09-1995,0,104,Released,Persuasion,7.4,36,4
18000000,902,fr,9.822423,16-05-1995,1738611,108,Released,The City of Lost Children,7.6,308,3
0,37557,zh,1.100915,30-04-1995,0,108,Released,Shanghai Triad,6.5,17,5
