"budget","id","original_language","original_title","overview","popularity","release_date","revenue","runtime","status","title","vote_average","vote_count"
"30000000","862","en","Toy Story","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","21.946943","10/30/1995","373554033","81","Released","Toy Story","7.7","5415"
"65000000","8844","en","Jumanji","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","17.015539","12/15/1995","262797249","104","Released","Jumanji","6.9","2413"
"0","15602","en","Grumpier Old Men","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcÃ©e opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","11.7129","12/22/1995","0","101","Released","Grumpier Old Men","6.5","92"
"16000000","31357","en","Waiting to Exhale","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","3.859495","12/22/1995","81452156","127","Released","Waiting to Exhale","6.1","34"
"0","11862","en","Father of the Bride Part II","Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.","8.387519","2/10/1995","76578911","106","Released","Father of the Bride Part II","5.7","173"
"60000000","949","en","Heat","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","17.924927","12/15/1995","187436818","170","Released","Heat","7.7","1886"
"58000000","11860","en","Sabrina","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","6.677277","12/15/1995","0","127","Released","Sabrina","6.2","141"
"0","45325","en","Tom and Huck","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","2.561161","12/22/1995","0","97","Released","Tom and Huck","5.4","45"
"35000000","9091","en","Sudden Death","International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","5.23158","12/22/1995","64350171","106","Released","Sudden Death","5.5","174"
"58000000","710","en","GoldenEye","James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.","14.686036","11/16/1995","352194034","130","Released","GoldenEye","6.6","1194"
"62000000","9087","en","The American President","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","6.318445","11/17/1995","107879496","106","Released","The American President","6.5","199"
"0","12110","en","Dracula: Dead and Loving It","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.","5.430331","12/22/1995","0","88","Released","Dracula: Dead and Loving It","5.7","210"
"0","21032","en","Balto","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","12.140733","12/22/1995","11348324","78","Released","Balto","7.1","423"
"44000000","10858","en","Nixon","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","5.092","12/22/1995","13681765","192","Released","Nixon","7.1","72"
"98000000","1408","en","Cutthroat Island","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","7.284477","12/22/1995","10017322","119","Released","Cutthroat Island","5.7","137"
"52000000","524","en","Casino","The life of the gambling paradise â€“ Las Vegas â€“ and its dark mafia underbelly.","10.137389","11/22/1995","116112375","178","Released","Casino","7.8","1343"
"16500000","4584","en","Sense and Sensibility","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","10.673167","12/13/1995","135000000","136","Released","Sense and Sensibility","7.2","364"
"4000000","5","en","Four Rooms","It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.","9.026586","12/9/1995","4300000","98","Released","Four Rooms","6.5","539"
"30000000","9273","en","Ace Ventura: When Nature Calls","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","8.205448","11/10/1995","212385533","90","Released","Ace Ventura: When Nature Calls","6.1","1128"
"60000000","11517","en","Money Train","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","7.337906","11/21/1995","35431113","103","Released","Money Train","5.4","224"
"30250000","8012","en","Get Shorty","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","12.669608","10/20/1995","115101622","105","Released","Get Shorty","6.4","305"
"0","1710","en","Copycat","An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.","10.701801","10/27/1995","0","124","Released","Copycat","6.5","199"
"50000000","9691","en","Assassins","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","11.065939","10/6/1995","30303072","132","Released","Assassins","6","394"
"0","12665","en","Powder","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","12.133094","10/27/1995","0","111","Released","Powder","6.3","143"
"3600000","451","en","Leaving Las Vegas","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","10.332025","10/27/1995","49800000","112","Released","Leaving Las Vegas","7.1","365"
"0","16420","en","Othello","The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.","1.845899","12/15/1995","0","123","Released","Othello","7","33"
"12000000","9263","en","Now and Then","Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","8.681325","10/20/1995","27400000","100","Released","Now and Then","6.6","91"
"0","17015","en","Persuasion","This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.","2.228434","9/27/1995","0","104","Released","Persuasion","7.4","36"
"18000000","902","fr","La CitÃ© des Enfants Perdus","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","9.822423","5/16/1995","1738611","108","Released","The City of Lost Children","7.6","308"
"0","37557","zh","æ‘‡å•Šæ‘‡ï¼Œæ‘‡åˆ°å¤–å©†æ¡¥","A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.","1.100915","4/30/1995","0","108","Released","Shanghai Triad","6.5","17"
"0","9909","en","Dangerous Minds","Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","9.481338","8/11/1995","180000000","99","Released","Dangerous Minds","6.4","249"
"29500000","63","en","Twelve Monkeys","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","12.297305","12/29/1995","168840000","129","Released","Twelve Monkeys","7.4","2470"
"0","78802","fr","Guillaumet, les ailes du courage","","0.745542","9/18/1996","0","50","Released","Wings of Courage","6.8","4"
"30000000","9598","en","Babe","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","14.404764","7/18/1995","254134910","89","Released","Babe","6","756"
"0","47018","en","Carrington","The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.","1.493361","11/8/1995","0","121","Released","Carrington","6.4","16"
"11000000","687","en","Dead Man Walking","A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.","6.891317","12/29/1995","39363635","122","Released","Dead Man Walking","7.3","350"
"0","139405","en","Across the Sea of Time","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.","0.114469","10/20/1995","0","51","Released","Across the Sea of Time","3.5","2"
"0","33689","en","It Takes Two","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","7.777735","11/17/1995","0","101","Released","It Takes Two","6.1","149"
"12000000","9603","en","Clueless","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","9.882383","7/19/1995","0","97","Released","Clueless","6.9","828"
"0","34615","en","Cry, the Beloved Country","A South-African preacher goes to search for his wayward son who has committed a crime in the big city.","0.894647","12/15/1995","676525","106","Released","Cry, the Beloved Country","6.7","13"
"0","31174","en","Richard III","Shakespeare's Play transplanted into a 1930s setting.","4.561387","12/29/1995","0","104","Released","Richard III","6.9","50"
"10000000","11443","en","Dead Presidents","Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","9.87957","10/6/1995","0","119","Released","Dead Presidents","6.6","80"
"19000000","35196","en","Restoration","An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","10.979269","12/29/1995","0","117","Released","Restoration","6.3","30"
"18000000","9312","en","Mortal Kombat","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","10.870138","8/18/1995","122195920","101","Released","Mortal Kombat","5.4","452"
"20000000","577","en","To Die For","Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","10.448481","5/20/1995","21284514","106","Released","To Die For","6.7","177"
"10000000","11861","en","How To Make An American Quilt","Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancÃ© is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","4.485958","10/6/1995","23574130","116","Released","How To Make An American Quilt","6.5","38"
"33000000","807","en","Se7en","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","18.45743","9/22/1995","327311859","127","Released","Se7en","8.1","5915"
"55000000","10530","en","Pocahontas","History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","13.280069","6/14/1995","346079773","81","Released","Pocahontas","6.7","1509"
"0","8391","en","When Night Is Falling","A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.","3.302524","5/5/1995","0","96","Released","When Night Is Falling","5.9","10"
"6000000","629","en","The Usual Suspects","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor â€“ leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","16.302466","7/19/1995","23341568","106","Released","The Usual Suspects","8.1","3334"
"0","117164","en","Guardian Angel","Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.","0.595949","11/22/1994","0","93","Released","Guardian Angel","6.3","3"
"15000000","11448","en","Mighty Aphrodite","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","15.899134","9/13/1995","6700000","95","Released","Mighty Aphrodite","6.7","145"
